child_visible,child_count,child_emotion,adult_visible,adult_emotion,scene_type,is_animated,has_text_overlay,emotional_tone,exploitation_concern,brief_description,id,title,channel
True,1,happy,True,happy,outdoor,False,False,positive,1,A happy family posing outdoors with a modern house in the background during twilight.,ebiHgUlEXy4,WE FOUND A NEW HOME! (HOUSE TOUR),acefamily
False,0,none,True,neutral,studio,False,False,dramatic,0,"Two adults are sitting against a plain background, one holding a phone while the other shrugs.",H1K80A59xaI,EXPOSING THE TRUTH ABOUT CATHERINE!!!,acefamily
True,2,happy,True,happy,indoor,False,True,positive,1,Two children and one adult in Christmas-themed attire smiling indoors with a 'MERRY CHRISTMAS' text overlay.,TXeje0ZDrAs,Our first video back on youtube...,acefamily
False,0,none,True,neutral,indoor,False,False,dramatic,1,Two adults wearing boxing gloves posing in a boxing ring.,bS4blcjlALc,CATHERINE WANTS TO FIGHT SOMEONE SEPTEMBER 10TH!!!,acefamily
True,2,happy,True,happy,indoor,False,False,positive,1,An adult and two children smiling while surrounded by numerous red and white roses and Valentine's Day decorations indoors.,8Qeq35EMcUk,SURPRISING MY GIRLS FOR VALENTINE'S DAY!!!,acefamily
True,2,neutral,True,happy,outdoor,False,False,negative,2,"An adult and two children in front of a Disney castle, with the children dressed in princess costumes and one child wearing a sun-themed shirt.",t9_jSnxAyBE,DISNEYLAND ALMOST RUINED ALAIA'S 4TH BIRTHDAY... **VERY SAD**,acefamily
True,1,neutral,False,none,studio,False,True,exciting,1,"A child dressed as Wednesday from the Netflix show, shown in two poses with an arrow between them and the Netflix logo above.",buDUHXHTvrM,ELLE TRANSFORMS INTO WEDNESDAY **VIRAL NETFLIX SHOW**,acefamily
True,1,neutral,False,none,indoor,False,True,positive,1,"A child in pajamas is sitting on a bed reading a book, with playful colorful ABC letters and stars added as overlays.",A4NaqspB0z8,A DAY IN A LIFE WITH ELLE!!!,acefamily
True,2,excited,True,happy,outdoor,False,True,exciting,1,"Two adults hold a child performing a split in midair while another child sits on the grass holding their face, all outdoors in front of a house.",4KLqQ2IEb2Y,EXTREME FAMILY YOGA CHALLENGE!!! **HILARIOUS**,acefamily
False,0,none,True,neutral,indoor,False,False,neutral,0,"Two adults sitting closely together indoors against a plain background, with neutral facial expressions.",dt3i38qZ5y8,OUR FIRST FIGHT!!! (COULD HAVE CHANGED EVERYTHING),acefamily
True,1,neutral,False,none,indoor,False,False,neutral,1,"A young child sits on a white chair next to a light-colored puppy, with an arrow pointing to a box near a window in the background.",G2lLBiyZxKs,SOMEONE LEFT A PUPPY AT OUR DOORSTEP!!! **SHOCKING**,acefamily
False,0,none,True,neutral,studio,False,True,exciting,1,"Two adults stand in front of a map showing a move from LA to Dubai, with text indicating the relocation.",Ol-IcdEM69s,MOVING TO DUBAI!!! **GOODBYE LA**,acefamily
False,0,none,True,neutral,indoor,False,False,neutral,0,Two adults sitting on a couch indoors with neutral expressions.,xqU3p6fPYmo,Happy New Years!!,bonniehoellein
False,0,none,False,none,indoor,False,False,neutral,0,An Elf on the Shelf doll and toy cows set up on a table with toy teacups and a teapot for a pretend tea party.,YFCBkhdO_Mc,Elf on the Shelf Day 16,bonniehoellein
