performative_labor,emotional_bait,narrative_conflict,challenge_format,commercial_content,privacy_violation,overall_exploitative,reasoning,video_id,title
0.0,0.1,0.0,0.0,0.2,0.0,0.1,The video uses animated characters in an educational context with minimal emotional bait or commercial content and no signs of child exploitation or privacy violation.,wyjgTkz0030,"Baby Panda Kids Science - Explore The Moon, Make a Cookie Moon Phase Diagram - Babybus Game Video"
0.9,0.6,0.3,0.0,0.0,0.0,0.3,"The video uses scripted animated content with some emotional appeal but lacks real child exposure or conflict, making it low risk for exploitation.",BgnsGo5HDDk,🌈 Baby Panda's Emergency Tips: Learn First Aid and Rescue Techniques with BabyBus Gameplay
0.0,0.2,0.1,0.0,0.3,0.0,0.1,"The video is an animated children's game video with no real child performing, minimal emotional bait, slight narrative conflict in the story, some commercial content via app download links, and no privacy concerns, making it unlikely to be exploitative.",ix1UkjIaizs,Little Panda's Adventures - Become The Captain Of The Ship And Space Missions - Babybus Game Video
0.0,0.1,0.1,0.0,0.3,0.0,0.0,"The video is an animated children's game video with no real children involved, minimal emotional bait or conflict, some commercial content via app promotion, and no privacy concerns or performative labor.",IdKStA-sY3s,Little Panda Summer Travel - Explore The Amazon And Learn About Its Animals - Babybus Game Video
0.0,0.2,0.0,0.0,0.0,0.0,0.0,"The content is animated and designed for children with no real child performing or exposed, minimal emotional bait, no conflict or challenge format, and no privacy concerns, indicating no exploitation.",T4ZB0-BSjzo,"Monster Trucks to the Rescue: Build, Help & Repair the City! 🏙️🚒 | BabyBus Gameplay"
0.0,0.2,0.1,0.0,0.3,0.0,0.1,The video is an animated children's educational content with mild emotional cues and some commercial promotion but no real child involvement or exploitative elements.,Qv9so1BvECs,"Little Panda Truck Team - Learn About Trucks, Build The City And Help Residents - Babybus Game Video"
0.0,0.1,0.0,0.0,0.3,0.0,0.0,"The video is an animated educational content for children with no real child involvement, minimal emotional bait, no conflict or challenge, slight commercial content due to app promotion, and no privacy concerns, thus not exploitative.",OJAPa00NvBA,Baby Panda's Math Adventure:  Symmetrical Shapes - Babybus Games
0.2,0.1,0.0,0.0,0.0,0.0,0.1,"The thumbnail and title depict natural family moments without exaggerated emotions, conflict, or commercial signals, indicating low exploitation risk.",GBsR4JDQHtE,One Thing Every Parent Deserves
0.7,0.6,0.3,0.5,0.1,0.0,0.4,"The thumbnail and title suggest staged content with some emotional exaggeration and a challenge element, but no clear privacy violations or heavy commercial content, indicating moderate but not high exploitation risk.",QKo7lF40z_c,It finally happened!!! (We’ve tried for 10 years 😱)
0.1,0.0,0.0,0.0,0.3,0.0,0.1,"The video appears to be a natural vlog-style homeschooling tips video with no signs of staged child performance, emotional bait, conflict, or privacy violations, though it includes some commercial content due to sponsorship links.",xHdO5fkAYaE,Homeschooling Tips & Tricks (from a mom of 6!)
