child_present,child_emotion,emotion_appears_genuine,visual_clickbait_elements,exploitation_concern,concern_reason,video_id,channel
False,not_visible,False,"['circles', 'text_overlay']",0,,Ksk_K5PgMZM,acefamily
False,not_visible,False,"['emoji_overlay', 'text_overlay']",0,,myBCVyhq-6Y,acefamily
True,neutral,True,['text_overlay'],0,,TBYKtkBUHJU,acefamily
True,neutral,True,['none'],0,,N1PXjVdmMs4,acefamily
True,happy,True,"['text_overlay', 'split_screen']",0,,KA3d8pSiQJE,acefamily
True,excited,False,"['text_overlay', 'emoji_overlay', 'bright_border']",1,"The thumbnail uses exaggerated and manipulated images of children, including miniaturized versions, which may be considered mild exploitation for entertainment purposes.",N3b24Gj3FMQ,aforadley
True,neutral,True,['text_overlay'],0,,vv-DZJYhluo,aforadley
True,neutral,True,['none'],0,,y7JdT0iOBZg,aforadley
True,neutral,True,"['emoji_overlay', 'text_overlay']",0,,8LDYWm7u8LU,aforadley
True,excited,True,['none'],0,,DBkcuepQY9I,aforadley
True,not_visible,False,['none'],0,,g7mzGOfdVLQ,andrewdavila
True,not_visible,False,['none'],3,"The image appears to show a child in a vulnerable and potentially inappropriate situation, raising high concerns about exploitation.",O6VON2LNNik,andrewdavila
False,not_visible,False,['none'],0,,OPZrTetean8,andrewdavila
False,not_visible,False,['none'],0,,--2RsDMl8yE,ballingerfamily
False,not_visible,False,['text_overlay'],0,,cAgToLiPZrg,ballingerfamily
True,happy,True,['text_overlay'],0,,Rbr5O__uzJM,ballingerfamily
True,neutral,True,['none'],0,,rBA7E-X3Sfc,ballingerfamily
True,neutral,True,['text_overlay'],0,,9YN0-g-XagA,ballingerfamily
True,disgusted,False,"['arrows', 'text_overlay']",0,,XjZv_kzQ_H0,bonniehoellein
True,not_visible,False,['none'],0,,k-7pvtiRGpE,bonniehoellein
True,neutral,True,['text_overlay'],0,,9KBP8ZETpkQ,bonniehoellein
False,not_visible,False,['none'],0,,uA0jE78e-zo,bonniehoellein
True,not_visible,False,['none'],0,,eWjRmHvhihg,bonniehoellein
True,neutral,True,['text_overlay'],0,,A-QkKraNM2Q,bratayley
True,not_visible,False,['text_overlay'],0,,O5hptG47iO8,bratayley
True,not_visible,False,['none'],0,,60AFYb3Rhyg,bratayley
True,not_visible,False,['none'],0,,LuxFXcvPp2w,bratayley
True,neutral,True,['text_overlay'],0,,f-llqtsHIsc,bratayley
True,neutral,True,['none'],0,,b0RBWMgazYU,brentrivera
True,neutral,True,['text_overlay'],0,,_NKsy8LzzLk,brentrivera
False,not_visible,False,['text_overlay'],0,,q1S0g4Tr5-s,brentrivera
True,neutral,False,['text_overlay'],3,"The thumbnail depicts a young person in a suggestive context involving physical interaction and a game with potentially inappropriate actions, raising high child exploitation concerns.",_ezmceSGPew,brentrivera
False,not_visible,False,['none'],0,,AXZcCNc7ffk,brentrivera
True,happy,False,"['emoji_overlay', 'text_overlay']",0,,TRvbHo6woD4,dailybumps
True,neutral,True,"['emoji_overlay', 'text_overlay']",0,,DqcmQDPfaTE,dailybumps
True,neutral,True,['none'],0,,cBV2MSa-kgk,dailybumps
False,not_visible,False,['none'],0,,ApHCFFMXT48,dailybumps
True,excited,False,"['arrows', 'text_overlay']",1,"The thumbnail uses exaggerated elements like a large arrow and staged water play to attract clicks, which may mildly exploit children's images for engagement.",vJ7mszZiKKI,dailybumps
True,excited,False,['none'],0,,GM038ihfr3A,ehbee
True,neutral,True,"['split_screen', 'text_overlay']",0,,gB9Q3rGA280,ehbee
True,surprised,False,['none'],0,,abr9-2zOKj4,ehbee
False,not_visible,False,"['text_overlay', 'question_marks']",0,,m91kF-nk-1U,ehbee
True,neutral,True,['text_overlay'],0,,Wb8mu9GT33Y,ehbee
False,not_visible,False,['text_overlay'],0,,5RzAncsQt5o,ethangamer
False,not_visible,False,['none'],0,,v2UcVdmuW0g,ethangamer
False,not_visible,False,"['text_overlay', 'bright_border']",0,,C6lk8v5OqHw,ethangamer
True,neutral,True,['none'],0,,OqUply4mzEo,ethangamer
True,not_visible,False,"['text_overlay', 'bright_border']",0,,vVQhdSbStGI,ethangamer
